title,rating,price,link
A Light in the Attic,Three,£51.77,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,One,£53.74,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Soumission,One,£50.10,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Sharp Objects,Four,£47.82,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Sapiens: A Brief History of Humankind,Five,£54.23,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Requiem Red,One,£22.65,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Black Maria,One,£52.15,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Shakespeare's Sonnets,Four,£20.66,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Set Me Free,Five,£17.46,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Rip it Up and Start Again,Five,£35.02,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Olio,One,£23.88,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
